cdf_fire_diff,usgs_fire_diff
lightning honeydew,bobcat
lightning series,bobfish-kern #14
likely,boca reservoir
lilac 5,boden
lime complex,bodie
little 5,boggs 5
lobo (neu wind complex),bogus
lodge complex,bohemotash
longwood,boise
loop,bolla
lopez/kern co #8,bolli
los gatos series,bonelli fire
lost lake,bonita #2
lost pipe lightning,bonnheim
low gap 1 lightning,bonny
lpf #807,borax fire
lpf asst #7 (kirk),border
lucas complex,border #10
mad complex,border #14
mad river complex,border #25
mallo-b lightning,border #34
marron #4,border #58
martin fire,border #6
martin series,border #70
matthew,border 10
mattole #2,border 12
maywood fire,border 16
mccourtney (neu wind complex),border 30
mchough complex,border 6
merged with yolla bolly complex,border 7
meridian av lucerne_vall,border#2
metz #4,border#26
metzen,border#31
mill complex,border#33
miller complex,border#4
millstream,border#44
min,border#48
mnf 964 assist,border#5
mnf-334 assist (fork),border#50
modoc complex,border#6
modoc july complex,border2
modoc n.f. 094,boswell
modoc nf 707 (ambrose),bottcher
monterey,bottle
montgomery flat lightning,bottle peak
moon,bottom
moreno-s-1046,boulder
mortar,boulder complex
musty #1,boulder-lime complex
musty #2,boundary
musty #3,bouquet fire
nees fire,bouquet fire no. ii
nicholas,bowen
nod bbt4,bowman
north mountain,box canyon (pioneer) fire
northford,box springs
november,boyd
nuns (central lnu complex),boys
oak glenn iii,bradford
observation,bradley incident
old 2,bradley-lockwood
old gulch,bragdon
old highway,bramlette
old topanga,brandt
olivas,bravo
oliver / mrp 588,braye
oliver complex (merged with oliver),breck
one-eleven (shu complex),breckenridge
opal mountain,bredhoft
orange co. assist,breeze
orco assist,brennan
orestima,brewer
orleans complex,briceberg
orr series lightning,bridal
orr springs rd orr 3,bridal veil
oso lightning,bridge fire
otay #18,bridge incident
p.n.f. 115,bridgeport
pacy,bridges
parker 2,bright
partrick (central lnu complex - nuns),brigss
pasqual,brileburg
patato,broadway / north complex
peterson complex,brock
pg&e #19,broder/beck wfu
pg&e #8 (cavendale),broken
pg&e (trauner),bronco
pg&e 13,brooktrails #2
pg&e 27,broome ranch
pg&e 39,brown
phelps,brown 1
pilot fire,brown 2
pine (campbell),browncone
piute complex,browns fire
plantina 4,browns valley
pleasure fire,brubeck
pocket 2 (central lnu complex),bruns
pony-state,brushy
popcorn,brushy 1
prado,brushy 3
priu,brushy 4
quail complex,brushy 5
r-21,brushy 6
r-4,brushy 7
red mountain 1 lightning,brushy 8
redwood valley (mendocino lake complex),bryant 2
resevoir fire,bryant fire (eastern port)
rest,bryant fire(western port)
ricco cabeu002665,bsfmu hog
rincon #21,bsfmu17
ripstein/east,bsfmu25
river complex,bsfmu31
river day asstmt rvctac1,bsfmu34
river-ii,bsfmu7
roadside 9323,btu lightning complex
rocklin assist,buck peak
rodeo 2,buckley
rodriquez,buckman
rogge fire,bucks
route complex,buckweed
rumsey series #3,buena vista wfu
rushmore,bullards incident
ruth complex,bullfrog
salmon august complex,bullhead
salt springs,bumb
san diego complex,bummer
san felipe,bummers
san francisco,bump
santa clara complex,burger creek
sawtooth,burke
schindel escape,burlwood
scissors #2,burn
scorpion complex,burney fire
shamrock east lightning,burnt
shell creek,burnt mt
shipman,burrough
shirley complex,burton
shockey (border 94),bus
shooting,butch
shultz (yorba),butcher
siskiyou / blue 2 complex,butler
sixteen complex,butler #2
slaughter house,butte 2
slick rock,butte fire
slu 1626,butte mt
slu 1690,butte valley
slu 73,butter
slu 864,buttermilk
slu 966,buttes
smokey,byers fire
snag,byron
soda complex,cabanzo
soup complex,cabbage
south complex,cabin seq
spi #3 sourgrass,cachuma
spoor,cahuila
spring #5 (sugarloaf),cahuilla
squaw 1 lightning,cajalco
srf assist #15 (panther),cajon
srf lightning complex,cal
st. claire,cal oil
sta 57 ono cdf igo 2,cal poly
stables,cal state
stallion springs,calabasas
stan. #7,calgary
stanislaus complex,calgrove fire
star fire,calico
state #1030 (dawson),caliente
state #1662,calif. valley csd
state #1807,calkins
state #1825,callbox
state #2056,calpine
state #837,camanche
state (bailey),camarillo hospital
state (brown),camatta
state (esperanza),cambridge
state (ida),camelot
state (jackrabbit),cameron
state (pechanga),camino
state (stanley),camino diablo
state 1102 (reche),camno san bernardo
state 1116,camp 2
state 1860 (wesley),camp anf fire
state 767 (bull),camp cree
state 837,camp2
state 891,campground
state 914,camuesa
state 925 antonio,canebreak
state assist (bee),cannon
state fire (beach),cannonball
"state, pauba",cantrall
state-sabina,cantua creek
steckle park,cantwell
stent,canyon i
stf #135,canyon ii
stoddard,canyon ii fire
stoddard #2,cap
sudden incident,capay
suey creek,capell
sugar loaf,capitan
sulphur (mendocino lake complex),captain
summit complex,car
summitt,caranton
sunrise,carbon
swift,carbon canyon fire
tahoe,carey-iron complex
tarina,caribou
tea incident,caribou wfu
tecate #18,carmody
tecate #30,caro
tecolate,carpenter
ten/bald,carson
thing,carter
thirty one 2,cary
thirty seven,casa
tof assist #1,cascade creek
travis 1 lightning,cascadel
travis 3 lightning,casitas
travis complex,casmalia
trinity (usfs #32),casoose creek
triple 3,cassel
tubbs (central lnu complex),castaic
tully,casterlin
tuttle town,castle
tuu lightning complex,castle 1
tuu sept lightning,castle co
twenty nine,castle wf
ukonom-south complex,cat
under,cateyes
usfs #14,cathedral
usfs #20,cattle
usfs #29,caylor
usfs #33,ccd border
usfs #41,cdf 807
usfs #5,cebriam
usfs assist #10,cebrian
usfs assist #33 (rock fire),cecil 2
vallecito lightning complex,cedar-iron complex
venture,celina
verbnia-state 82,cement
wagers lightning,cement fire
wagon wheel,cement fire #1
wawona nw,cement fire #2
weaver,cemetery
weber,center fire
west branch,centerville
whiskeytown complex,cerrito
whitehorse,cerritos
whitmore rd/old cow c2,chagoopa
widow,chalolo #1
wiggle,chalone
william,chambers
wilmont,chamise
winchester #1,chance
wolfskill,chandler
woodrow,charlie
worden,chatsworth fire
yosemite #1,chawanakee
yuba river complex,checkpoint
,cheney incident
,cherry fire
,cheseboro
,chestnut
,chevron
,cheyenne
,chihauhau 2
,chil
,chimineas
,china complex
,china lake
,chinese (china pines slopover)
,chinese camp #1
,chino
,chiquito
,chisholm
,choctaw
,chorro
,chow
,christmas
,chrome
,chualar
,chuckwagon
,cienega
,cima
,citrus
,claremont
,claribel
,clarks
,clavey 87 complex
,clay
,clay river
,clear
,clear lake
,clearhouse
,cleghorn
,clements
,cliff
,cliff ridge
,clifton
,clingans
,clinton
,clipper2
,club
,coach
,coal cyn.
,coalinga
,coburn
,cocheo
,cocos
,codfish
,coe
,coffeepot2
,coldbrook
,cole
,coleville
,colgate
,colina
,collins
,colony
,columbia
,columbia hill
,comanche
,comb
,combat-basilone complex
,con assist 11_dolan
,con asst 13_diamond
,conejos
,conifer
,"conner, w"
,conness
,conouck
,consky
,constania
,constantia
,converse
,conway
,cooks
,cool
,coon
,cooney
,cooper
,cooperstown #2
,cooprstown
,cooskie
,copco fire
,copper #1
,copper #3
,copper fire
,copus
,coral
,corcoran
,corona state #983
,coronado
,coronado hills
,corp #13
,corp #15
,corporation
,corral fire
,corral hollow
,corral hollow - pg&e
,corral wfu
,corral_hollow
,correco
,costa #2
,coto
,cottontail
,cougar #2
,country
,countyline
,courtney fire
,covington fire
,cow #1
,cowhead
,cowshed  lightning
,cox
,coyote 1
,cozy dell
,crafton
,crag
,cram
,crandel
,crane
,crater
,crater mountain
,crater wf
,craterpnf
,crawford
,creag
,cree
,creed
,creek fire
,creek incident
,crescent
,crest fire
,creston
,cripple
,crockett 2
,cross fire
,cross_roads
,crossing
,crossover
,crowder
,crowder mt.
,crystal wfu
,cub
,cuddeback
,curie
,curtis
,curve
,cutca
,cutter
,cutthroat-lime complex
,cuyama
,cypress
,cyrus
,cyrus cyn
,d
,daguerra point
,dahlberg
,daily
,daley
,daley #3
,dalton
,dalton 2
,dalton 3
,dam
,damet
,damon/long
,dana
,danhauser
,dark
,daulton
,daves
,dawson
,de luz
,deadwood
,deafy
,dechambeau
,decker fire
,deep
,deep lake
,deer cree
,deer horn 2
,dehaven
,dehesa
,dehesa #3
,del dios #2
,del valle
,del valle fire
,del venturi
,del_puerto
,del_puerto_2
,dell_puerto_1
,delonegha
,delta
,delta fire
,deltoid
,demo
,democrat
,dennison park
,denny-iron complex
,derby
,derby fire
,desert fire
,desk
,devil fire
,devils canyon
